Nombre,Categoria
"Tortellini cuatro quesos","TEMÁTICOS"
"Tortellini de carne","TEMÁTICOS"
"Tortellini de ricotta y espinaca","TEMÁTICOS"
"Tortellini de york y queso","TEMÁTICOS"
"Baguetes especiales (consultar tipos)","PREPARADOS Y PIZZAS"
"Base para pizza","PREPARADOS Y PIZZAS"
"Base para pizza con tomate","PREPARADOS Y PIZZAS"
"Bocapizzas","PREPARADOS Y PIZZAS"
"Paninis de jamón york","PREPARADOS Y PIZZAS"
"Pizza margarita cuadrada para catering","PREPARADOS Y PIZZAS"
"Pizzas cuadradas","PREPARADOS Y PIZZAS"
"Pizzas redondas","PREPARADOS Y PIZZAS"
"Sushi variado","PREPARADOS Y PIZZAS"
"Nata culinaria brik","NATA"
"Nata en spray","NATA"
"Base de pizza sin gluten","SIN GLUTEN"
"Canelones sin gluten","SIN GLUTEN"
"Churros sin gluten","SIN GLUTEN"
"Empanadillas sin gluten","SIN GLUTEN"
"Lasaña de carne sin gluten","SIN GLUTEN"
"Nuggets de pollo sin gluten","SIN GLUTEN"
"Pizzas sin gluten","SIN GLUTEN"
"Clara de huevo brik","HUEVOS"
"Huevo líquido","HUEVOS"
"Huevos cocidos pelados","HUEVOS"
"Huevos morenos tamaño M","HUEVOS"
"Queso en barra gourmet","QUESOS"
"Queso feta","QUESOS"
"Queso fresco burgos","QUESOS"
"Queso mes curado","QUESOS"
"Queso mozzarella","QUESOS"
"Queso rodez","QUESOS"
"Queso semicurado","QUESOS"
"Rulo de cabra riblaire","QUESOS"
"Aceite de oliva en sobres","MONODOSIS"
"Kétchup en sobres","MONODOSIS"
"Mayonesa en sobres","MONODOSIS"
"Miel en porciones","MONODOSIS"
"Paté iberitos","MONODOSIS"
"Salsa ali-oli en sobres","MONODOSIS"
"Salsa barbacoa en sobres","MONODOSIS"
"Solecitos","MONODOSIS"
"Vinagre en sobres","MONODOSIS"
"Guacamole","SALSAS"
"Kétchup","SALSAS"
"Kétchup bidón con dosificador","SALSAS"
"Mayonesa","SALSAS"
"Mayonesa bidón con dosificador","SALSAS"
"Mayonesa campera","SALSAS"
"Mayonesa ligera","SALSAS"
"Mostaza","SALSAS"
"Mostaza bidón con dosificador","SALSAS"
"Salsa ali-oli","SALSAS"
"Salsa barbacoa","SALSAS"
"Salsa barbacoa bidón con dosificador","SALSAS"
"Salsa brava","SALSAS"
"Salsa brava","SALSAS"
"Salsa césar","SALSAS"
"Salsa cheddar","SALSAS"
"Salsa cocktail","SALSAS"
"Salsa de yogurt","SALSAS"
"Salsa kebab","SALSAS"
"Salsa ranchera","SALSAS"
"Salsa soja","SALSAS"
"Salsa taco","SALSAS"
"Salsa tártara","SALSAS"
"Vinagre balsámico de módena","SALSAS"
"Vinagreta","SALSAS"
"Bocadito de patata","PATATAS"
"Gnocchi de patata","PATATAS"
"Gratinado de patatas","PATATAS"
"Patata duquesa","PATATAS"
"Patatas bravas","PATATAS"
"Patatas caseras","PATATAS"
"Patatas dado","PATATAS"
"Patatas dippers","PATATAS"
"Patatas dólar","PATATAS"
"Patatas extra finas","PATATAS"
"Patatas gajo con piel","PATATAS"
"Patatas gajo sazonada","PATATAS"
"Patatas julienne","PATATAS"
"Patatas mammy","PATATAS"
"Patatas parisinas","PATATAS"
"Patatas rellenas","PATATAS"
"Patatas rosti","PATATAS"
"Patatas sonrisa","PATATAS"
"Patatas surecrisp","PATATAS"
"Bechamel","PREPARADOS POSTRES"
"Cheesecake","PREPARADOS POSTRES"
"Crema pastelera","PREPARADOS POSTRES"
"Cremoso (consultar sabores)","PREPARADOS POSTRES"
"Cuajada","PREPARADOS POSTRES"
"Flan (consultar sabores)","PREPARADOS POSTRES"
"Gelatina","PREPARADOS POSTRES"
"Gelatina diet","PREPARADOS POSTRES"
"Mousse ","PREPARADOS POSTRES"
"Natillas","PREPARADOS POSTRES"
"Panna cotta de nata","PREPARADOS POSTRES"
"Semifrio","PREPARADOS POSTRES"
"Sirope (consultar sabores)","PREPARADOS POSTRES"
"Tocino de cielo","PREPARADOS POSTRES"
"Yogupur","PREPARADOS POSTRES"
"Bolos portugueses","REPOSTERÍA"
"Brazo de gitano","REPOSTERÍA"
"Brigadeiros de chocolate","REPOSTERÍA"
"Churros lazo","REPOSTERÍA"
"Gofres belgas","REPOSTERÍA"
"Grande delicia (consultar sabores)","REPOSTERÍA"
"Leche frita","REPOSTERÍA"
"Masa de hojaldre","REPOSTERÍA"
"Mini crepes rellenos de cacao","REPOSTERÍA"
"Mini crepes rellenos de manzana","REPOSTERÍA"
"Muerte por chocolate","REPOSTERÍA"
"Pastel de nata","REPOSTERÍA"
"Profiteroles de nata","REPOSTERÍA"
"Profiteroles de trufa","REPOSTERÍA"
"Tartas cuadradas 32/64 raciones","REPOSTERÍA"
"Tartas redondas 10/12 raciones","REPOSTERÍA"
"Yogur en cubo","REPOSTERÍA"
